epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94389,2.3414,3.71194,1.52192,0.3,0.1875,0.13117,0.05549,2.21474,3.5673,1.65916,0,0,0
2,17.1277,2.26679,3.49264,1.42522,0.375,0.3125,0.26609,0.12131,2.14267,3.33014,1.63099,1.63399e-05,1.63399e-05,1.63399e-05
3,26.8892,2.49932,3.45264,1.39275,0.37037,0.41667,0.39614,0.17403,2.04194,2.87843,1.59327,3.20197e-05,3.20197e-05,3.20197e-05
4,34.9329,2.09793,2.90816,1.65309,0.46809,0.41667,0.44609,0.21211,1.86446,2.27128,1.51278,4.70394e-05,4.70394e-05,4.70394e-05
5,43.9821,1.81559,1.92232,1.37952,0.49272,0.4375,0.49718,0.23701,1.66191,1.73473,1.38419,6.13989e-05,6.13989e-05,6.13989e-05
6,53.1716,2.15653,1.498,1.17399,0.46782,0.41667,0.57288,0.28596,1.55291,1.63851,1.28108,7.50984e-05,7.50984e-05,7.50984e-05
7,60.0201,2.08208,1.5058,1.19286,0.37284,0.69553,0.59319,0.30351,1.56418,1.86653,1.25076,8.81376e-05,8.81376e-05,8.81376e-05
8,66.4926,1.73705,1.3222,1.07778,0.39479,0.74582,0.58778,0.2784,1.65777,2.80802,1.27682,0.000100517,0.000100517,0.000100517
9,72.7518,1.39075,0.95137,1.0056,0.3501,0.86174,0.53522,0.23416,1.77635,7.6609,1.31632,0.000112236,0.000112236,0.000112236
10,79.0889,1.84671,2.28679,1.52557,0.49718,0.77462,0.48456,0.22325,1.86749,12.4552,1.32095,0.000123295,0.000123295,0.000123295
11,85.203,1.79637,2.23959,1.49983,0.51299,0.69697,0.41378,0.20491,1.80505,10.8089,1.30786,0.000133693,0.000133693,0.000133693
12,91.5142,1.54586,1.20667,1.19333,0.4068,0.69697,0.39622,0.19362,1.76475,8.63069,1.29064,0.000143432,0.000143432,0.000143432
13,97.5266,1.41326,1.62544,1.39069,0.32403,0.81629,0.48584,0.22857,1.67188,7.84638,1.25599,0.00015251,0.00015251,0.00015251
14,105.005,1.26631,1.21469,1.20489,0.33942,0.88826,0.64981,0.36305,1.49765,8.11658,1.18432,0.000160929,0.000160929,0.000160929
15,113.263,1.3836,1.02577,1.27354,0.46218,0.90341,0.78877,0.46523,1.47361,8.40618,1.17052,0.000168687,0.000168687,0.000168687
16,122.674,1.14308,0.82182,1.12193,0.49621,0.93371,0.85264,0.49269,1.50896,8.05292,1.19581,0.000175785,0.000175785,0.000175785
17,132.49,1.3864,1.1956,1.03774,0.4896,0.94886,0.90804,0.54431,1.43855,7.81478,1.20596,0.000182223,0.000182223,0.000182223
18,140.247,1.21095,0.73894,1.16781,0.4896,0.94886,0.90804,0.54431,1.43855,7.81478,1.20596,0.000188001,0.000188001,0.000188001
19,147.325,1.29166,0.83508,1.04067,0.57962,0.9697,0.95885,0.60374,1.28456,5.25864,1.14455,0.000193119,0.000193119,0.000193119
20,153.647,1.20972,0.76498,1.07336,0.57962,0.9697,0.95885,0.60374,1.28456,5.25864,1.14455,0.000197576,0.000197576,0.000197576
21,160.109,1.16451,0.73766,0.93511,0.74978,0.9697,0.96359,0.63281,1.16482,3.03784,1.09935,0.000201374,0.000201374,0.000201374
22,167.456,1.36672,0.80973,0.97318,0.74978,0.9697,0.96359,0.63281,1.16482,3.03784,1.09935,0.000204511,0.000204511,0.000204511
23,174.472,1.26561,1.03748,1.24945,0.88355,0.9697,0.97007,0.64259,1.10352,1.56795,1.06953,0.000206988,0.000206988,0.000206988
24,181.013,1.01816,0.70828,1.0351,0.88355,0.9697,0.97007,0.64259,1.10352,1.56795,1.06953,0.000208805,0.000208805,0.000208805
25,187.47,1.01309,0.72717,1.11332,0.89955,0.89199,0.97181,0.65929,1.07699,1.24341,1.05412,0.000209962,0.000209962,0.000209962
26,193.622,1.45534,0.723,0.98596,0.89955,0.89199,0.97181,0.65929,1.07699,1.24341,1.05412,0.000210459,0.000210459,0.000210459
27,200.662,0.99966,0.65793,1.02132,0.85563,0.88636,0.95793,0.65696,1.05717,1.26637,1.04743,0.000210295,0.000210295,0.000210295
28,206.923,0.99685,0.83386,1.07541,0.85563,0.88636,0.95793,0.65696,1.05717,1.26637,1.04743,0.000209472,0.000209472,0.000209472
29,213.308,0.98195,0.704,0.99495,0.77066,0.88636,0.93959,0.66087,1.02273,1.6336,1.02784,0.000207988,0.000207988,0.000207988
30,219.805,0.98788,0.76087,1.12655,0.77066,0.88636,0.93959,0.66087,1.02273,1.6336,1.02784,0.000205844,0.000205844,0.000205844
31,226.147,0.8921,0.63651,0.99639,0.84804,0.94735,0.94708,0.68924,0.97948,1.73906,1.01361,0.000203041,0.000203041,0.000203041
32,232.457,0.97766,0.66594,0.95186,0.84804,0.94735,0.94708,0.68924,0.97948,1.73906,1.01361,0.000199577,0.000199577,0.000199577
33,238.919,0.8421,0.56269,1.04786,0.85863,0.9697,0.95496,0.6864,1.01368,1.75745,1.02339,0.000195452,0.000195452,0.000195452
34,244.712,0.94414,0.56384,0.93952,0.85863,0.9697,0.95496,0.6864,1.01368,1.75745,1.02339,0.000190668,0.000190668,0.000190668
35,250.718,1.10447,0.78094,1.20001,0.86051,0.98485,0.96934,0.66977,1.03784,1.64155,1.02759,0.000185224,0.000185224,0.000185224
36,256.59,1.08751,1.01672,1.24281,0.86051,0.98485,0.96934,0.66977,1.03784,1.64155,1.02759,0.000179119,0.000179119,0.000179119
37,262.661,0.88259,0.53699,0.91771,0.90008,0.98485,0.97448,0.6872,1.0142,1.29876,1.01938,0.000172354,0.000172354,0.000172354
38,268.39,0.88411,0.55392,1.03301,0.90008,0.98485,0.97448,0.6872,1.0142,1.29876,1.01938,0.00016493,0.00016493,0.00016493
39,274.407,0.88266,0.65933,1.09043,0.94794,0.98445,0.9792,0.72147,0.93681,1.03406,0.99139,0.000156845,0.000156845,0.000156845
40,280.616,1.02569,0.62234,1.08531,0.94794,0.98445,0.9792,0.72147,0.93681,1.03406,0.99139,0.0001481,0.0001481,0.0001481
41,287.075,0.74498,0.54973,0.95627,0.97401,0.98485,0.98,0.7557,0.87488,0.82421,0.97377,0.000138694,0.000138694,0.000138694
42,293.307,0.7565,0.54106,0.93848,0.97401,0.98485,0.98,0.7557,0.87488,0.82421,0.97377,0.000128629,0.000128629,0.000128629
43,299.885,0.68966,0.58487,0.91987,0.98849,0.98485,0.98,0.76075,0.86756,0.74239,0.97285,0.000117904,0.000117904,0.000117904
44,306.16,0.76566,0.61493,1.06228,0.98849,0.98485,0.98,0.76075,0.86756,0.74239,0.97285,0.000106518,0.000106518,0.000106518
45,312.755,0.79154,0.52403,0.93029,0.9912,0.98485,0.98,0.7632,0.84561,0.71476,0.96375,9.44722e-05,9.44722e-05,9.44722e-05
46,318.723,0.72047,0.48719,0.94805,0.9912,0.98485,0.98,0.7632,0.84561,0.71476,0.96375,8.17663e-05,8.17663e-05,8.17663e-05
47,326.692,0.96838,0.60639,0.91432,0.98811,0.98485,0.98,0.7796,0.81682,0.6919,0.95319,6.84003e-05,6.84003e-05,6.84003e-05
48,333.701,0.86647,0.50606,0.90122,0.98811,0.98485,0.98,0.7796,0.81682,0.6919,0.95319,5.43742e-05,5.43742e-05,5.43742e-05
49,340.315,1.03451,0.73068,0.86143,0.98155,0.98485,0.98,0.77788,0.80195,0.66697,0.94701,3.96879e-05,3.96879e-05,3.96879e-05
50,346.729,0.94576,0.54872,0.90331,0.98155,0.98485,0.98,0.77788,0.80195,0.66697,0.94701,2.43415e-05,2.43415e-05,2.43415e-05
